id,run_id,pipeline_name,batch_id,log_date,log_hour,error_request_count,total_request_count,error_rate,distinct_error_hosts
266389,16,hive,1,1995-07-14,15,10,1023,0.98,4
266390,16,hive,1,1995-07-14,16,4,1214,0.33,3
266391,16,hive,1,1995-07-14,17,5,648,0.77,3
266392,16,hive,1,1995-07-14,18,3,415,0.72,2
266393,16,hive,1,1995-07-14,19,0,252,0.00,0
266394,16,hive,1,1995-07-14,20,1,153,0.65,1
266395,16,hive,1,1995-07-14,21,0,98,0.00,0
266396,16,hive,1,1995-07-14,22,2,80,2.50,2
266397,16,hive,1,1995-07-14,23,0,20,0.00,0
266398,16,hive,1,1995-07-15,0,2,66,3.03,1
266399,16,hive,1,1995-07-15,1,0,82,0.00,0
266400,16,hive,1,1995-07-15,2,0,31,0.00,0
266401,16,hive,1,1995-07-15,3,0,44,0.00,0
266402,16,hive,1,1995-07-15,4,0,1,0.00,0
266403,16,hive,1,1995-07-15,5,0,19,0.00,0
266404,16,hive,1,1995-07-15,6,1,77,1.30,1
266405,16,hive,1,1995-07-15,7,0,36,0.00,0
266406,16,hive,1,1995-07-15,8,0,51,0.00,0
266407,16,hive,1,1995-07-15,9,0,51,0.00,0
266408,16,hive,1,1995-07-15,10,0,97,0.00,0
266409,16,hive,1,1995-07-15,11,0,79,0.00,0
266431,16,hive,1,1995-07-16,10,0,66,0.00,0
266432,16,hive,1,1995-07-16,11,0,84,0.00,0
266433,16,hive,1,1995-07-16,12,0,154,0.00,0
266434,16,hive,1,1995-07-16,13,0,311,0.00,0
266435,16,hive,1,1995-07-16,14,1,63,1.59,1
266436,16,hive,1,1995-07-16,15,0,118,0.00,0
266437,16,hive,1,1995-07-16,16,0,53,0.00,0
266438,16,hive,1,1995-07-16,17,0,127,0.00,0
266439,16,hive,1,1995-07-16,18,0,63,0.00,0
266440,16,hive,1,1995-07-16,19,0,42,0.00,0
266441,16,hive,1,1995-07-16,20,0,90,0.00,0
266442,16,hive,1,1995-07-16,21,0,135,0.00,0
266443,16,hive,1,1995-07-16,22,0,67,0.00,0
266444,16,hive,1,1995-07-16,23,0,61,0.00,0
266445,16,hive,1,1995-07-17,0,0,25,0.00,0
266446,16,hive,1,1995-07-17,1,0,49,0.00,0
266447,16,hive,1,1995-07-17,2,0,25,0.00,0
266448,16,hive,1,1995-07-17,3,1,60,1.67,1
266449,16,hive,1,1995-07-17,4,1,126,0.79,1
266450,16,hive,1,1995-07-17,5,0,21,0.00,0
266451,16,hive,1,1995-07-17,6,0,109,0.00,0
266452,16,hive,1,1995-07-17,7,0,443,0.00,0
266453,16,hive,1,1995-07-17,8,1,566,0.18,1
266454,16,hive,1,1995-07-17,9,3,970,0.31,2
266455,16,hive,1,1995-07-17,10,7,1074,0.65,3
266456,16,hive,1,1995-07-17,11,3,1116,0.27,2
266457,16,hive,1,1995-07-17,12,8,1024,0.78,6
266458,16,hive,1,1995-07-17,13,10,1020,0.98,5
266459,16,hive,1,1995-07-17,14,6,1435,0.42,4
266460,16,hive,1,1995-07-17,15,2,877,0.23,2
266461,16,hive,1,1995-07-17,16,5,836,0.60,3
266462,16,hive,1,1995-07-17,17,2,581,0.34,2
266463,16,hive,1,1995-07-17,18,1,269,0.37,1
266464,16,hive,1,1995-07-17,19,1,190,0.53,1
266465,16,hive,1,1995-07-17,20,0,72,0.00,0
266466,16,hive,1,1995-07-17,21,0,136,0.00,0
266467,16,hive,1,1995-07-17,22,0,120,0.00,0
266468,16,hive,1,1995-07-17,23,0,114,0.00,0
266469,16,hive,1,1995-07-18,0,0,54,0.00,0
